x,y,z
3.09,3.01,3.33
1.63,2.29,3.56
3.76,3.31,3.44
3.84,2.60,2.48
3.41,3.37,2.79
3.45,3.39,3.75
3.71,3.39,2.77
3.01,2.77,3.48
3.26,2.88,3.28
3.17,3.36,2.78
2.80,2.81,3.42
2.91,3.38,2.78
1.55,2.79,3.49
2.37,1.96,3.85
2.63,3.48,2.24
2.84,2.44,3.39
2.21,2.39,3.81
2.49,2.49,3.51
2.85,3.08,2.98
3.58,3.74,3.17
2.54,2.85,3.29
2.40,2.20,3.56
2.37,2.61,3.36
2.81,2.49,2.91
2.60,2.75,3.00
2.76,2.72,2.97
3.38,3.71,3.14
2.75,2.64,3.33
3.53,3.23,3.05
2.89,2.88,3.89
1.71,2.13,3.55
3.32,3.03,2.85
1.75,1.63,3.88
2.96,3.09,2.07
3.85,3.61,2.53
2.03,2.66,3.67
2.34,2.76,2.90
5.33,3.59,2.43
2.88,3.65,1.75
2.67,2.91,3.12
3.51,2.80,3.53
1.54,2.90,3.04
2.35,2.51,3.06
2.78,2.86,3.05
4.04,3.71,2.16
1.86,2.76,4.58
1.42,2.72,3.62
2.67,2.77,3.31
3.67,3.23,2.58
4.80,3.67,1.77
3.15,2.38,4.56
3.75,3.32,2.11
4.07,3.13,3.14
4.79,3.20,1.47
2.16,2.50,4.11
2.58,2.10,4.55
2.86,3.05,2.93
3.33,2.97,3.05
1.77,3.10,3.12
3.40,2.64,3.83
4.32,3.33,3.36
1.29,2.58,3.11
2.88,2.85,3.40
3.26,2.90,3.55
3.74,2.85,3.22
2.96,3.13,3.50
3.32,2.56,2.50
1.51,2.13,4.22
2.43,2.86,2.80
2.66,2.84,3.41
3.25,2.99,3.24
3.46,3.25,2.48
1.49,1.57,3.85
2.10,2.42,3.48
3.42,3.33,2.44
4.49,3.28,2.22
3.16,3.43,1.98
3.94,4.00,1.51
2.72,3.66,2.16
4.10,3.59,2.30
1.69,2.55,3.19
3.31,3.17,2.49
3.13,3.27,3.84
1.33,1.98,3.37
2.25,3.04,3.23
2.78,3.03,2.47
2.37,2.95,3.01
2.35,2.60,3.57
4.42,3.30,3.22
4.45,3.60,2.02
2.85,3.53,2.51
2.49,2.54,3.07
2.23,2.26,3.50
1.72,2.33,3.95
2.42,2.63,2.58
1.36,2.54,3.66
1.89,2.01,3.60
3.69,3.21,2.73
2.81,2.80,2.65
4.51,3.50,2.76
1.90,2.33,2.97
3.05,2.80,3.26
2.30,3.57,3.17
3.63,2.44,4.04
3.30,2.92,2.90
2.87,3.69,3.79
3.19,3.36,2.81
3.52,3.15,2.15
3.57,2.74,2.08
3.22,2.78,3.29
2.70,3.34,2.93
2.91,3.04,2.89
3.29,2.70,3.74
5.19,4.24,2.06
3.45,3.18,2.51
3.49,3.88,2.01
3.11,3.34,2.51
2.13,2.56,3.95
2.16,2.80,3.30
2.85,2.23,3.83
2.57,2.97,2.79
3.61,3.03,2.90
4.27,3.04,2.21
3.03,3.39,3.57
3.59,3.37,3.00
4.42,3.17,3.32
3.45,3.73,1.35
2.96,3.15,2.27
1.85,2.56,3.46
2.73,2.72,2.93
4.08,3.18,2.77
2.96,2.92,3.75
4.16,3.66,2.01
3.73,3.37,1.53
2.65,2.56,3.68
5.30,3.73,2.30
2.34,2.86,3.40
4.08,3.77,2.29
4.44,3.39,2.08
2.30,2.53,4.59
2.68,2.97,3.27
3.50,2.65,3.01
2.47,3.20,2.55
2.45,2.36,3.73
3.38,3.47,2.92
2.28,2.53,3.12
3.59,2.82,2.54
4.04,3.89,2.56
3.57,3.03,2.48
1.86,2.51,3.31
3.18,2.97,2.83
4.82,3.97,1.96
2.97,1.74,3.73
3.74,3.15,1.84
2.32,2.84,3.38
3.31,3.00,3.30
3.73,3.43,2.53
2.79,2.70,2.42
3.24,2.89,3.79
3.62,2.31,3.32
2.58,3.02,2.25
3.81,3.54,2.35
2.12,3.09,2.51
3.98,2.95,3.49
2.84,3.24,2.51
2.55,2.98,3.53
2.55,2.33,3.22
2.48,2.11,3.88
2.71,3.36,2.77
3.81,3.27,2.97
3.08,2.67,3.02
1.53,2.36,3.60
1.34,2.20,2.71
1.15,2.70,3.24
2.37,2.83,3.42
3.67,2.81,3.25
3.26,2.76,3.84
1.60,2.64,4.13
2.97,2.63,3.65
2.96,3.18,2.87
3.70,3.85,2.10
4.10,3.71,2.74
1.89,2.75,4.08
2.44,3.17,3.15
2.28,3.16,3.53
3.38,3.67,2.35
4.67,3.40,3.33
2.61,2.96,2.59
2.42,2.89,3.40
2.92,2.31,2.99
2.98,3.19,3.20
3.49,2.77,2.42
3.02,3.04,2.37
2.34,2.24,4.17
1.70,2.26,3.15
2.83,2.81,2.01
2.18,3.26,2.60
2.16,2.50,4.47
3.64,3.06,2.24
2.78,3.04,3.36
3.27,4.30,2.16
2.13,3.28,2.94
4.03,2.64,3.53
3.13,3.43,2.82
2.72,3.60,2.58
4.25,3.62,2.64
3.65,2.89,3.40
2.33,2.48,2.33
3.58,2.65,3.34
3.79,3.44,2.50
3.06,2.42,2.97
2.83,3.15,3.15
2.99,3.21,2.98
2.55,2.36,4.05
1.95,2.62,3.41
2.77,2.64,3.92
4.01,3.19,2.29
3.52,3.70,2.42
2.32,2.84,3.99
2.47,2.47,3.17
1.92,2.79,3.42
2.00,2.64,3.02
3.69,3.01,3.13
3.88,3.20,2.78
4.28,3.21,2.78
4.00,3.20,3.03
3.63,2.83,2.73
3.18,3.09,2.53
3.00,3.68,1.65
0.97,2.77,3.54
4.76,3.50,2.56
2.76,2.79,2.63
4.30,3.05,3.09
3.30,3.29,1.36
5.55,3.82,2.10
1.83,2.38,3.15
2.08,2.47,3.87
1.39,2.44,3.79
3.11,3.24,2.36
4.31,3.85,3.05
4.14,2.91,1.79
2.17,2.22,2.98
3.90,3.60,2.43
3.27,3.38,2.98
1.75,3.09,2.72
2.56,3.66,2.50
3.12,2.93,3.77
3.39,2.89,2.79
3.86,2.60,3.05
2.28,2.78,3.07
3.15,2.88,3.58
2.67,2.68,3.37
3.73,2.54,2.88
2.12,2.15,4.38
3.40,3.64,2.89
4.69,2.97,2.35
3.92,3.13,2.65
2.42,2.90,3.77
3.30,2.57,2.76
3.20,3.33,2.83
2.92,3.06,2.46
2.84,2.82,3.46
2.38,2.90,4.16
2.48,3.01,3.26
2.38,3.44,1.70
2.82,3.27,2.66
1.99,2.81,2.62
4.22,3.73,2.09
3.46,2.77,3.75
1.79,2.49,3.08
2.32,2.35,3.94
2.71,3.00,3.55
2.76,2.91,3.50
3.83,3.56,1.95
3.41,2.90,2.49
4.64,3.68,2.10
4.23,3.48,1.96
2.85,2.68,2.98
2.73,3.47,2.96
2.12,2.13,4.37
4.41,3.06,2.18
2.65,2.37,2.83
2.94,3.21,3.11
3.76,2.86,3.82
2.87,3.42,2.46
2.63,3.21,3.52
3.46,3.42,2.02
3.07,3.35,2.15
4.43,3.53,2.03
3.26,2.58,3.08
3.14,2.76,2.87
3.76,3.54,2.58
2.73,3.19,3.12
2.87,2.78,3.01
3.12,2.49,3.08
3.97,3.55,2.85
2.56,2.68,1.99
3.57,3.07,2.67
2.20,2.31,3.01
3.59,2.96,2.84
3.24,2.65,3.65
3.86,4.01,2.57
3.09,3.38,2.87
3.31,2.89,3.08
3.02,3.48,2.04
4.89,3.55,1.81
4.41,3.52,2.51
3.10,3.31,2.51
3.03,2.93,2.64
3.31,3.25,2.40
3.39,3.37,2.95
3.26,2.32,3.54
3.06,3.28,3.25
2.60,3.41,3.23
1.29,2.03,3.66
3.52,3.64,2.14
1.89,2.36,3.72
2.24,2.55,3.40
4.39,3.04,2.85
3.73,3.29,2.47
2.65,2.97,3.35
1.50,2.57,3.64
2.11,2.09,3.74
2.16,2.49,3.69
2.14,3.11,2.72
0.52,2.16,4.40
3.87,3.34,3.10
2.24,2.50,2.22
2.74,2.83,2.75
2.51,2.70,2.87
3.42,2.88,3.15
2.56,2.99,2.48
3.51,3.43,3.10
4.19,4.01,1.61
1.24,2.70,4.08
2.52,3.64,1.76
2.37,2.22,4.10
4.09,4.15,1.78
2.63,2.99,2.41
2.12,2.33,3.56
2.01,2.77,2.88
2.40,2.53,2.72
2.03,2.26,3.71
4.11,3.40,2.07
1.18,2.28,2.99
3.27,2.61,3.55
1.83,1.81,3.71
2.99,3.22,2.20
1.88,3.05,2.34
3.65,3.98,2.42
2.48,2.85,4.01
2.93,3.03,2.72
2.73,2.61,3.52
2.74,2.72,4.28
3.76,3.44,2.67
4.44,3.42,2.07
3.89,3.28,2.61
4.72,3.59,2.43
3.66,2.70,2.97
3.78,3.02,3.16
3.15,3.60,2.98
2.21,3.10,2.96
3.86,3.62,3.02
1.98,3.03,2.48
2.99,3.22,2.56
4.07,3.74,2.81
3.09,2.94,2.93
2.81,2.38,4.38
2.60,2.57,3.13
2.66,1.75,4.01
3.35,3.13,2.52
2.05,2.63,3.40
2.27,2.55,4.24
3.68,3.58,2.26
1.25,2.11,3.02
4.45,3.28,3.72
3.67,2.90,3.55
3.33,2.72,3.27
2.35,2.30,3.64
2.07,2.50,2.68
2.91,3.06,3.02
4.10,3.69,2.59
1.85,2.73,3.18
3.63,3.33,3.13
1.77,2.83,2.81
3.63,3.34,2.68
2.96,2.81,3.11
3.55,3.23,3.96
4.77,3.52,2.06
2.73,2.91,3.38
3.68,4.11,1.97
2.79,3.05,3.36
2.59,3.15,3.20
3.25,3.18,2.73
1.67,2.31,3.32
3.15,2.81,3.44
3.21,3.09,3.73
3.82,3.54,2.81
4.29,2.82,3.63
1.09,1.43,3.73
3.60,3.23,2.94
2.67,3.61,2.91
2.94,3.45,2.59
2.11,3.28,3.22
3.67,4.08,1.70
3.09,2.71,2.53
3.41,3.41,2.07
1.29,2.25,3.86
2.49,2.45,3.28
3.49,3.26,2.77
2.87,2.66,2.74
2.59,3.22,2.65
2.53,2.96,3.74
3.23,2.42,3.50
1.51,2.59,3.34
4.06,3.51,2.91
2.78,2.92,3.01
4.45,3.50,2.56
4.21,3.06,2.95
3.36,2.98,3.11
3.21,3.13,2.34
2.81,3.23,2.68
2.04,2.06,3.33
2.71,1.99,3.61
2.40,3.61,2.93
2.80,2.85,2.82
3.34,2.90,3.30
4.20,3.63,2.16
2.93,2.77,2.74
3.61,3.46,3.55
2.73,3.06,3.40
3.01,3.00,2.69
4.38,3.09,3.95
2.84,2.95,3.54
3.09,2.30,3.81
1.66,2.80,3.79
2.33,2.74,3.49
2.31,3.06,3.26
2.84,2.77,3.42
1.91,2.74,3.39
3.60,3.11,2.03
2.71,3.48,2.85
3.76,2.89,2.11
2.44,2.74,2.14
2.39,2.73,3.29
3.19,2.61,3.27
4.32,3.64,2.43
2.00,2.61,3.90
2.35,3.00,3.25
1.98,2.38,4.06
3.30,3.37,2.90
4.27,3.82,2.56
2.90,3.02,3.50
3.77,3.73,2.46
3.22,3.06,3.65
3.27,3.49,2.60
3.10,3.09,3.34
2.10,2.61,3.46
4.11,3.34,2.88
1.37,2.52,3.21
3.87,3.51,2.27
3.45,3.63,3.57
1.66,3.07,3.98
2.28,2.62,2.94
2.90,3.50,2.48
2.64,2.86,2.75
2.47,2.42,3.83
3.14,2.99,3.60
2.62,2.84,3.64
2.95,3.05,3.78
3.35,2.49,2.96
2.48,2.28,2.93
4.09,3.67,3.03
1.40,2.22,3.64
2.71,3.01,3.29
2.26,3.12,3.51
2.97,2.84,3.01
3.00,2.53,3.60
3.69,3.37,2.49
2.57,3.06,2.41
2.31,3.14,3.50
4.01,2.79,3.25
3.79,2.42,3.76
3.77,4.00,1.52
3.70,3.16,3.01
3.65,3.03,2.82
3.83,2.96,3.44
2.99,3.28,3.48
2.83,3.22,2.35
2.73,3.22,3.60
1.99,2.72,2.69
3.62,3.79,2.75
3.84,3.54,2.38
3.90,3.32,3.82
2.76,2.93,3.42
4.47,4.10,2.69
2.96,2.75,3.33
2.73,3.09,3.07
3.31,3.64,2.47
3.57,3.53,2.58
4.13,3.06,2.35
3.38,2.66,3.34
3.37,3.79,2.40
2.21,2.33,2.97
3.72,2.66,1.56
2.83,2.71,2.89
2.03,2.48,4.31
3.52,2.94,2.62
3.68,3.93,2.16
3.93,3.29,2.90
3.14,3.53,2.25
2.62,2.88,3.18
1.75,1.81,3.45
3.64,3.13,2.43
2.41,2.69,2.73
3.07,3.45,2.28
2.80,2.99,3.20
2.48,2.44,4.23
3.30,3.10,1.96
3.62,2.98,4.17
2.48,2.68,3.65
3.55,3.99,2.07
1.82,2.91,2.73
4.03,3.27,2.46
1.36,3.49,2.55
1.68,3.14,4.06
3.51,2.86,2.52
5.06,4.15,2.01
3.43,3.12,2.79
3.02,3.28,2.61
2.69,3.08,2.96
3.09,3.01,2.11
3.43,2.98,3.54
2.27,2.78,2.98
3.03,2.70,3.38
2.61,2.12,3.47
3.85,3.06,3.49
2.81,2.75,3.31
3.21,3.13,2.51
2.21,3.00,2.90
3.73,3.54,3.06
4.35,3.21,2.97
3.29,3.65,1.73
5.14,3.71,1.84
4.72,3.84,2.56
2.59,3.13,2.86
2.00,2.49,3.63
2.93,3.14,3.25
2.55,3.12,2.51
2.76,3.24,3.05
2.35,2.88,3.56
2.35,3.15,3.50
2.69,2.81,3.16
2.95,2.58,3.19
2.51,2.32,3.10
4.01,3.14,2.93
1.41,2.54,3.45
4.81,3.81,2.47
2.61,2.25,3.33
2.86,3.38,3.14
2.82,2.08,3.31
3.09,3.22,2.84
3.72,3.65,3.73
2.19,2.77,3.08
1.52,2.78,3.55
3.23,2.97,3.30
2.97,2.92,2.69
3.86,2.93,3.31
4.31,3.44,2.47
1.94,2.90,3.53
2.06,2.21,3.02
2.02,2.74,2.35
4.35,4.26,1.66
2.11,2.99,2.96
2.74,3.35,2.62
2.34,2.21,3.47
2.61,3.56,1.71
3.58,3.18,1.79
3.98,3.39,2.45
3.64,3.44,3.29
2.46,2.96,2.93
3.53,3.01,2.63
2.66,2.76,3.24
2.09,1.86,4.63
4.10,2.95,3.11
3.01,3.62,2.64
2.47,2.93,3.06
2.45,2.24,3.12
1.11,2.94,3.22
1.93,2.30,3.43
4.94,3.17,3.48
2.63,2.93,2.85
2.43,2.67,2.40
2.45,3.53,2.31
3.59,3.86,2.86
3.56,2.62,3.58
3.03,3.08,3.70
2.60,2.78,3.61
3.53,3.18,2.49
1.92,3.00,2.90
3.24,3.09,1.84
3.02,2.81,3.11
3.37,2.99,2.99
3.06,3.11,1.88
3.49,3.20,2.89
3.34,3.05,2.89
4.36,3.57,1.73
4.49,3.44,2.43
3.84,2.74,3.19
3.78,3.20,3.42
2.76,2.99,3.64
2.34,2.85,3.50
2.64,3.20,3.22
3.09,3.41,3.02
3.40,2.97,2.54
4.31,3.07,2.74
2.23,2.87,2.54
1.93,3.78,2.85
1.65,2.93,3.31
3.09,3.22,2.96
3.18,3.93,2.36
3.27,3.36,2.45
1.36,2.19,3.53
2.19,2.47,3.45
2.30,2.49,3.96
3.49,3.32,3.10
3.03,2.92,2.95
4.70,3.42,2.88
1.92,2.22,4.20
2.28,2.81,2.71
2.82,3.52,1.05
2.93,2.88,2.83
2.80,3.28,3.00
2.80,3.85,3.59
4.17,3.90,1.04
3.13,3.16,3.92
2.92,3.57,2.25
2.61,2.97,3.21
3.94,3.48,1.79
2.36,3.05,2.87
2.68,1.95,3.94
4.04,3.83,2.75
2.82,3.03,3.57
2.92,3.18,3.13
2.43,2.59,3.47
2.38,3.10,2.98
2.00,2.62,3.65
3.21,2.69,4.15
3.22,2.06,3.48
3.44,3.35,2.80
3.13,3.31,3.70
3.24,3.08,2.74
3.93,3.07,2.57
2.08,2.60,3.86
3.06,2.77,2.97
4.14,3.56,2.93
1.99,2.07,3.48
3.49,3.13,2.84
4.72,3.81,2.19
4.14,3.03,2.72
2.72,3.12,2.88
2.96,2.68,3.74
2.86,3.59,2.89
3.98,2.67,3.61
2.24,2.27,2.79
3.95,3.87,1.78
3.87,3.29,2.93
3.12,3.03,3.48
2.59,3.26,2.61
2.11,2.23,4.80
4.25,3.87,2.26
2.74,2.44,4.15
4.20,3.88,2.24
2.01,2.62,4.45
3.34,3.13,2.35
2.68,2.86,2.47
3.72,3.11,2.80
2.75,3.32,3.20
2.47,2.90,3.69
2.85,3.21,1.82
3.32,3.58,1.56
3.93,4.37,2.45
2.10,3.45,3.53
1.25,2.11,3.17
2.52,3.61,3.03
4.67,3.81,2.62
3.26,3.40,2.62
3.07,2.73,2.91
3.09,3.20,2.90
2.16,2.57,2.83
1.86,3.09,2.92
3.00,3.62,2.25
2.89,3.08,2.86
4.94,4.39,2.20
3.69,3.02,2.76
4.63,3.25,2.44
4.47,3.31,2.86
2.19,2.55,2.75
3.20,3.14,2.75
2.48,2.94,2.96
4.40,3.83,2.30
2.51,2.69,3.98
2.59,3.13,2.15
2.29,2.24,3.52
2.44,2.35,4.22
3.37,2.98,3.84
3.42,3.17,2.50
3.45,2.57,3.91
2.79,3.19,3.83
4.35,3.43,1.85
3.99,3.35,3.11
2.31,2.29,3.58
3.01,3.22,2.15
2.66,3.02,3.15
3.04,2.90,3.30
3.96,3.88,2.22
1.14,1.91,4.15
3.66,2.80,3.08
4.25,3.80,1.61
2.00,2.70,2.84
3.61,3.41,2.76
2.90,2.40,3.59
