x,y,z,LABELS,IS OUTLIER
3.09,3.01,3.33,1,0
1.63,2.29,3.56,1,0
3.76,3.31,3.44,1,0
3.84,2.6,2.48,1,0
3.41,3.37,2.79,1,0
3.45,3.39,3.75,1,0
3.71,3.39,2.77,1,0
3.01,2.77,3.48,1,0
3.26,2.88,3.28,1,0
3.17,3.36,2.78,1,0
2.8,2.81,3.42,1,0
2.91,3.38,2.78,1,0
1.55,2.79,3.49,1,0
2.37,1.96,3.85,1,0
2.63,3.48,2.24,1,0
2.84,2.44,3.39,1,0
2.21,2.39,3.81,1,0
2.49,2.49,3.51,1,0
2.85,3.08,2.98,1,0
3.58,3.74,3.17,1,0
2.54,2.85,3.29,1,0
2.4,2.2,3.56,1,0
2.37,2.61,3.36,1,0
2.81,2.49,2.91,1,0
2.6,2.75,3.0,1,0
2.76,2.72,2.97,1,0
3.38,3.71,3.14,1,0
2.75,2.64,3.33,1,0
3.53,3.23,3.05,1,0
2.89,2.88,3.89,1,0
1.71,2.13,3.55,1,0
3.32,3.03,2.85,1,0
1.75,1.63,3.88,1,0
2.96,3.09,2.07,1,0
3.85,3.61,2.53,1,0
2.03,2.66,3.67,1,0
2.34,2.76,2.9,1,0
5.33,3.59,2.43,1,0
2.88,3.65,1.75,1,0
2.67,2.91,3.12,1,0
3.51,2.8,3.53,1,0
1.54,2.9,3.04,1,0
2.35,2.51,3.06,1,0
2.78,2.86,3.05,1,0
4.04,3.71,2.16,1,0
1.86,2.76,4.58,1,0
1.42,2.72,3.62,1,0
2.67,2.77,3.31,1,0
3.67,3.23,2.58,1,0
4.8,3.67,1.77,1,0
3.15,2.38,4.56,1,0
3.75,3.32,2.11,1,0
4.07,3.13,3.14,1,0
4.79,3.2,1.47,1,0
2.16,2.5,4.11,1,0
2.58,2.1,4.55,1,0
2.86,3.05,2.93,1,0
3.33,2.97,3.05,1,0
1.77,3.1,3.12,1,0
3.4,2.64,3.83,1,0
4.32,3.33,3.36,1,0
1.29,2.58,3.11,1,0
2.88,2.85,3.4,1,0
3.26,2.9,3.55,1,0
3.74,2.85,3.22,1,0
2.96,3.13,3.5,1,0
3.32,2.56,2.5,1,0
1.51,2.13,4.22,1,0
2.43,2.86,2.8,1,0
2.66,2.84,3.41,1,0
3.25,2.99,3.24,1,0
3.46,3.25,2.48,1,0
1.49,1.57,3.85,1,0
2.1,2.42,3.48,1,0
3.42,3.33,2.44,1,0
4.49,3.28,2.22,1,0
3.16,3.43,1.98,1,0
3.94,4.0,1.51,1,0
2.72,3.66,2.16,1,0
4.1,3.59,2.3,1,0
1.69,2.55,3.19,1,0
3.31,3.17,2.49,1,0
3.13,3.27,3.84,1,0
1.33,1.98,3.37,1,0
2.25,3.04,3.23,1,0
2.78,3.03,2.47,1,0
2.37,2.95,3.01,1,0
2.35,2.6,3.57,1,0
4.42,3.3,3.22,1,0
4.45,3.6,2.02,1,0
